RootStock,TrunkGirth,Weight
I,358,760
I,375,821
I,393,928
I,394,1009
I,360,766
I,351,726
I,398,1209
I,362,750
II,409,1036
II,406,1094
II,487,1635
II,498,1517
II,438,1197
II,465,1244
II,469,1495
II,440,1026
III,376,912
III,444,1398
III,438,1197
III,467,1613
III,448,1475
III,478,1571
III,457,1506
III,456,1458
IV,389,944
IV,405,1241
IV,405,1023
IV,392,1067
IV,327,693
IV,395,1085
IV,427,1242
IV,385,1017
V,404,1084
V,416,1151
V,479,1381
V,442,1242
V,347,673
V,441,1137
V,464,1455
V,457,1325
VI,376,800
VI,314,606
VI,375,790
VI,399,853
VI,334,610
VI,321,562
VI,363,707
VI,395,952
VII,266,414
VII,241,335
VII,380,885
VII,401,1012
VII,296,489
VII,315,616
VII,358,788
VII,343,733
IX,231,375
IX,250,410
IX,219,335
IX,275,560
IX,205,251
IX,213,272
IX,266,478
IX,226,278
X,299,506
X,381,882
X,362,737
X,372,772
X,369,827
X,368,821
X,408,1149
X,410,1035
XII,431,1609
XII,465,1658
XII,484,1789
XII,527,2375
XII,463,1556
XII,412,1418
XII,514,2266
XII,522,2508
XIII,387,1052
XIII,414,1167
XIII,387,981
XIII,390,944
XIII,327,737
XIII,424,1392
XIII,421,1326
XIII,382,1052
XV,448,1258
XV,435,1304
XV,451,1290
XV,450,1288
XV,428,1176
XV,424,1177
XV,482,1331
XV,469,1490
XVI,452,1499
XVI,412,1412
XVI,425,1488
XVI,460,1751
XVI,464,1937
XVI,457,1823
XVI,463,1838
XVI,473,1817
